year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
1960,30697263973.00,11654795050.00,17610819417.00,1417300175.00,"",0.00
1961,31108654007.00,11873283944.00,17771360683.00,1449380254.00,"",""
1962,31658632102.00,12163711350.00,17998331936.00,1481570549.00,"",""
1963,32343199433.00,12505602611.00,18306956083.00,1515231981.00,"",""
1964,33033056629.00,12821405218.00,18648504778.00,1547347005.00,"",""
1965,33739925170.00,13106143060.00,19038491935.00,1579097498.00,"",0.00
1966,34484342369.00,13432820709.00,19402635651.00,1632301822.00,"",""
1967,35226332636.00,13709506410.00,19814639343.00,1685198100.00,"",""
1968,35981914958.00,13959206671.00,20267391060.00,1737935489.00,"",""
1969,36774799147.00,14213203855.00,20752476166.00,1791344402.00,"",""
1970,37579124870.00,14475200683.00,21242014432.00,1843742588.00,"",0.00
1971,38404093188.00,14771531117.00,21706012272.00,1907999033.00,"",""
1972,39218889612.00,15052453548.00,22177614601.00,1969850486.00,"",""
1973,40028142546.00,15319964866.00,22659018754.00,2029781232.00,"",""
1974,40839865943.00,15566706113.00,23163660263.00,2089703456.00,"",""
1975,41635951255.00,15780672084.00,23685844734.00,2149232801.00,"",0.00
1976,42419192325.00,15992171465.00,24185439563.00,2220958078.00,"",0.00
1977,43199461657.00,16172601682.00,24713097154.00,2292730401.00,"",0.00
1978,43993085519.00,16332769784.00,25275880741.00,2362991528.00,"",0.00
1979,44805760594.00,16483394447.00,25872390025.00,2428106424.00,"",0.00
1980,45628690335.00,16628754612.00,26492061549.00,2485585851.00,"",187856.00
1981,46473619166.00,16784632425.00,27119440987.00,2546828227.00,"",458428.00
1982,47352570361.00,16955562668.00,27774630020.00,2599243586.00,"",711250.00
1983,48241915850.00,17129408162.00,28442505310.00,2646423425.00,"",1029976.00
1984,49130462784.00,17298699631.00,29113675881.00,2694044412.00,"",2115796.00
1985,50036591209.00,17471233514.00,29794181143.00,2746636042.00,"",4858691.00
1986,50969752974.00,17711233071.00,30418946910.00,2814524068.00,"",9418361.00
1987,51927202706.00,17951318121.00,31065087171.00,2885217260.00,"",16545299.00
1988,52895325866.00,18188901354.00,31721524969.00,2958761190.00,"",28157244.00
1989,53862105266.00,18416435843.00,32383565619.00,3035437482.00,"",47666587.00
1990,54852479008.00,18637992237.00,33070228658.00,3117088854.00,"",73084202.00
1991,55807162036.00,18896392961.00,33674083546.00,3209020438.00,"",106997566.00
1992,56733631819.00,19091721048.00,34309160241.00,3304627069.00,"",154367016.00
1993,57662282256.00,19251971399.00,34979900627.00,3401845541.00,"",231098287.00
1994,58582206186.00,19399284469.00,35657976647.00,3495953307.00,"",383213870.00
1995,59503995572.00,19547484449.00,36341546478.00,3585544871.00,"",637410991.00
1996,60411404576.00,19631747662.00,37058392207.00,3691441339.00,"",1033030082.00
1997,61316685236.00,19750684536.00,37748217582.00,3787592356.00,"",1582005401.00
1998,62212922281.00,19871437067.00,38434127913.00,3878436012.00,1859688.00,2394896937.00
1999,63097060866.00,19948769921.00,39151472037.00,3970297091.00,7419759.00,3815068924.00
2000,63974412324.00,19967705541.00,39914565061.00,4066309861.00,79617459.00,5967096709.00
2001,64847272086.00,20023554901.00,40624886199.00,4172920748.00,225978708.00,8056704965.00
2002,65718743889.00,20018512028.00,41391483262.00,4282753974.00,437419695.00,10057710734.00
2003,66594397472.00,19979974561.00,42195844892.00,4392496019.00,727281549.31,12557073324.00
2004,67475540364.00,19954931783.00,42999811407.00,4494631112.00,1175450974.00,16124973489.00
2005,68362733890.00,19968420257.00,43781860402.00,4586215351.00,1680199145.00,20774348215.00
2006,69256204709.00,20021436773.00,44518908314.00,4689410936.00,2237026414.00,26452158690.00
2007,70154352471.00,20106457495.00,45237601368.00,4783642963.00,2835719299.00,33055723956.00
2008,71064943108.00,20220088006.00,45942463641.00,4875546024.00,3447045591.00,40199138136.00
2009,71981554768.00,20343977220.00,46637836116.00,4972703004.00,4034827623.00,46681801435.00
2010,72899955224.00,20467507736.00,47324985636.00,5080234132.00,4597388495.00,53772036396.00
2011,73814823196.00,20612484155.00,47966270773.00,5208644506.00,5262804714.00,60190783695.00
2012,74745345076.00,20754672158.00,48616258927.00,5346797430.00,5770107849.00,64368114691.00
2013,75692396950.00,20898421330.00,49268420098.00,5497684500.00,6181454152.00,68854195469.00
2014,76648297996.00,21044814957.00,49909534018.00,5666073925.00,6558361059.00,72433977458.00
2015,77608276429.00,21192817121.00,50532741609.00,5855052705.00,7730760143.00,74389138836.08
2016,78576796964.00,21350044964.00,51121374101.00,6077509127.00,8517817059.00,77777904573.00
2017,79543069428.00,21503506931.00,51694892363.00,6316604188.00,9708665777.00,80383183926.00
2018,80494309045.00,21648266021.00,52252101897.00,6565674154.00,10084851203.00,79417546045.00
