"","Film","Year","Box.Office.Gross.Worldwide","Budget","Rotten.Tomatoes","Metacritic","Revenue"
"1","Ant-Man",2015,519311965,109300000,82,64,410011965
"2","Ant-Man and the Wasp",2018,622674139,1.62e+08,88,70,460674139
"3","Avengers: Age of Ultron",2015,1405403694,365500000,75,66,1039903694
"4","Avengers: Endgame",2019,2677472736,3.56e+08,95,78,2321472736
"5","Avengers: Infinity War",2018,2048359754,4e+08,85,68,1648359754
"6","Black Panther",2018,1346913161,2.1e+08,97,88,1136913161
"7","Captain America: Civil War",2016,1153304495,2.3e+08,91,75,923304495
"8","Captain America: The First Avenger",2011,370569774,1.4e+08,80,66,230569774
"9","Captain America: The Winter Soldier",2014,714264267,1.77e+08,90,70,537264267
"10","Captain Marvel",2019,1126947152,1.75e+08,78,64,951947152
"11","Doctor Strange",2016,677718395,236600000,89,72,441118395
"12","Guardians of the Galaxy",2014,773328629,195900000,91,76,577428629
"13","Guardians of the Galaxy Vol. 2",2017,863756051,2e+08,84,67,663756051
"14","Iron Man",2008,585174222,1.4e+08,93,79,445174222
"15","Iron Man 2",2010,623933331,2e+08,73,57,423933331
"16","Iron Man 3",2013,1214811252,178400000,79,62,1036411252
"17","Marvel's The Avengers",2012,1518812988,2.2e+08,92,69,1298812988
"18","Spider-Man: Homecoming",2017,880166924,1.75e+08,92,73,705166924
"19","The Incredible Hulk",2008,263427551,1.5e+08,67,61,113427551
"20","Thor",2011,449326618,1.5e+08,77,57,299326618
"21","Thor: Ragnarok",2017,853977126,1.8e+08,93,74,673977126
"22","Thor: The Dark World",2013,644571402,152700000,66,54,491871402
